1535;8.62;Madhouse;Supernatural;21;8.7;Detective;R - 17+ (violence & profanity);Shounen
1482;8.01;TMS Entertainment;Action;24;8.29;Mythology;PG-13 - Teens 13 or older;Shounen
1604;8.13;Artland;Action;47;8.12;Organized Crime;PG-13 - Teens 13 or older;Shounen
1519;8.17;Madhouse;Action;735;8.29;Adult Cast;R - 17+ (violence & profanity);Seinen
1559;8.05;TMS Entertainment;Action;988;8.09;Martial Arts;PG-13 - Teens 13 or older;Shounen
1536;7.3;Xebec;Action;41;7.25;School;PG-13 - Teens 13 or older;Shounen
1562;7.72;Nippon Animation;Comedy;422;7.97;Reverse Harem;PG-13 - Teens 13 or older;Shoujo
1606;7.6;Sunrise;Action;105;7.99;Mythology;PG-13 - Teens 13 or older;Shounen
1579;7.42;Yumeta Company;Romance;1051;7.8;Music;PG-13 - Teens 13 or older;Josei
1589;7.33;Palm Studio;Drama;3713;7.94;Adult Cast;PG-13 - Teens 13 or older;Seinen
1568;6.84;Studio Hibari;Action;4328;7.16;Martial Arts;PG-13 - Teens 13 or older;Seinen
1813;7.62;Ajia-do;Comedy;348;8.23;Adult Cast;PG-13 - Teens 13 or older;Seinen
1538;7.16;Gonzo;Action;426;7.79;Military;R - 17+ (violence & profanity);Shounen
1592;7;Gallop;Comedy;3068;7.11;Adult Cast;PG-13 - Teens 13 or older;Seinen
1729;7.8;Studio Deen;Drama;4177;7.76;School;PG-13 - Teens 13 or older;Shoujo
1619;7.06;Shaft;Comedy;15;7.93;Harem;PG-13 - Teens 13 or older;Shounen
