14397;8.38;Madhouse;Drama;13245;8.56;Love Polygon;PG-13 - Teens 13 or older;Josei
12115;8.2;Studio 4°C;Action;2;9.47;Gore;R+ - Mild Nudity;Seinen
16005;7.47;Manglobe;Action;49319;7.26;Super Power;R - 17+ (violence & profanity);Shounen
15751;7.28;Ordet;Action;42531;7.95;Parody;PG-13 - Teens 13 or older;Shounen
15613;7.39;Studio Deen;Action;5685;7.91;Mythology;PG-13 - Teens 13 or older;Shoujo
15109;7.25;Zexcs;Comedy;15715;7.39;Detective;PG-13 - Teens 13 or older;Shounen
16916;7.8;Production I.G;Sports;11652;8.12;School;PG-13 - Teens 13 or older;Shounen
14511;7.65;feel.;Comedy;2629;7.59;CGDCT;PG-13 - Teens 13 or older;Seinen
15933;6.77;Production I.G;Action;3076;8.04;Gore;R - 17+ (violence & profanity);Shoujo
15391;5.68;Hoods Entertainment;Comedy;34471;6.59;School;R+ - Mild Nudity;Seinen
16395;7.91;Tatsunoko Production;Comedy;1414;8.38;School;PG-13 - Teens 13 or older;Shounen
14889;6.31;AIC Classic;Comedy;22707;6.64;Parody;PG-13 - Teens 13 or older;Shounen
16319;5.71;SILVER LINK.;Comedy;35755;6.64;School;PG-13 - Teens 13 or older;Seinen
